Gene.symbol	Gene.ID	adj.P.Val	P.Value	logFC
		0.606222049020765	0.309142568086477	-0.569893655944444
MAP7D3	79649	0.606222049020765	0.309145833708225	0.47809241238889
BCL10	8915	0.606222049020765	0.309174797245309	0.198666029111111
CCDC18	343099	0.606222049020765	0.309189287959013	0.358139978000001
LMBR1	64327	0.606222049020765	0.309197440614688	0.204962959722224
CDK5RAP3	80279	0.60628009054159	0.30924580219265	-0.736763857444449
PUM1///PUM1	9698///9698	0.606330607661419	0.309290329151753	-0.152557462666666
HEBP1	50865	0.606340549625664	0.309314160521888	0.339376265944443
SCAMP3	10067	0.606545234533093	0.309471305725884	-0.225440527277778
SNAPC4	6621	0.606545234533093	0.309479128442211	-0.189244744277775
		0.606545234533093	0.309497545934077	0.286220588000001
		0.606545234533093	0.309499115697164	-0.418772815277778
HAPLN1	1404	0.606545234533093	0.309518319492229	-0.176162230111111
		0.606545234533093	0.309554937930792	0.117330109388889
TPI1	7167	0.606545234533093	0.309560818613241	0.23159498061111
CAMSAP2	23271	0.606545234533093	0.30956870730664	0.283843498722222
SNF8	11267	0.606670807688873	0.309651567539474	-0.226270876333333
		0.606685607528234	0.309677892175391	0.392060699444444
		0.606692944177501	0.309700407969573	0.381458394611111
GRB7	2886	0.606698093320479	0.309727671274838	0.164744165055557
ERN2	10595	0.606698093320479	0.309740578505653	0.212184943055554
		0.606779082085792	0.30981636322484	0.387357846111113
SNORA4///EIF4A2	619568///1974	0.606779082085792	0.309819473149402	-0.724947116222225
APCDD1L	164284	0.606788580253629	0.30985744235371	-0.251382754944446
AP5M1	55745	0.606788580253629	0.309868761058534	0.330298662833333
		0.606788580253629	0.309880644338554	-0.605768959333334
		0.606825169676791	0.309935706928793	0.773555425555556
CLDN18	51208	0.606825169676791	0.309954541555811	-0.216559621166667
SNORD116-10	100033422	0.606825169676791	0.309955655029057	0.170060573666668
		0.607032005667947	0.310080084575904	-0.598898487666667
		0.607042256960954	0.310104102740705	-0.170396018277778
WDR64	128025	0.607072854881158	0.310138516128761	0.17315428438889
		0.607105554369747	0.310193251507379	-0.279333082555556
FKBP7	51661	0.607105554369747	0.310199852690072	0.466323438388891
SSNA1	8636	0.607105554369747	0.310211572365223	0.257032683333334
		0.607105812475116	0.310230487882152	-0.217990362444445
CTIF	9811	0.607137615727727	0.310265523931032	0.204639576333334
		0.607180834461188	0.310306395954021	0.298868560777778
		0.607212144644292	0.310346502436111	-0.41975244588889
ITM2C	81618	0.607212144644292	0.310385348904199	-0.426959169055555
NGDN	25983	0.607212144644292	0.310396513585865	-0.264876117833333
		0.607212144644292	0.310411859350409	0.262210620055556
SORCS2	57537	0.607212144644292	0.310416331980992	0.29266343327778
		0.607242146842133	0.310450457424566	-0.377986063055555
		0.60728934340831	0.31049337581827	-0.228588955277778
UIMC1	51720	0.607302349869402	0.310520763620583	0.298169823444444
		0.607302349869402	0.310537605157378	0.373225102333334
SAGE1	55511	0.607400723216755	0.310614373614985	0.402268840222222
ZIC3	7547	0.607400723216755	0.310625492839013	0.178151227999999
IL25	64806	0.607594011341845	0.310752969369992	0.237168286388889
LOC102723968	102723968	0.607594011341845	0.310773593730907	-0.327945004111111
HOXD3	3232	0.607594011341845	0.310799355912195	0.22405311838889
PTPRT	11122	0.607594011341845	0.310803228337568	0.202006092833334
		0.607594011341845	0.310818334319051	0.275670187500001
VNN2	8875	0.607688761708192	0.310885606102687	0.689598174888888
EGFR	1956	0.60769896084133	0.310909625830644	0.162592579999999
		0.607827259568325	0.310994071702032	-0.50659138227778
FLJ41327	401045	0.607943766315344	0.311072491795525	-0.281832205055555
TCP10L	140290	0.608008495272143	0.311124423851551	-0.283543762222223
FLT4	2324	0.608060366613113	0.311182652931544	0.260787552777778
KIR2DS2///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS4///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3	100132285///115653///57292///3813///3812///3811///3809///3806///3804///3803///3802///3813///3812///3811///3810///3808	0.608060366613113	0.311195264813965	-0.350065209277778
SSX5	6758	0.608060366613113	0.311207406469915	-0.16368524011111
ELK3	2004	0.608122829023751	0.311258190047954	-0.27854888561111
		0.60813667654158	0.311304257678354	0.611308910111109
TAX1BP1	8887	0.60813667654158	0.311305337340967	0.286778605
		0.60813667654158	0.311366732898249	-0.371036010944445
VPS39	23339	0.60813667654158	0.311381823583297	0.163659219611111
AHCYL2	23382	0.60813667654158	0.311414953560632	-0.216904475222223
NIN	51199	0.60813667654158	0.311436694233955	0.222111365777775
MIR205HG///MIR205///MIR205HG	642587///406988///642587	0.60813667654158	0.311444566506959	-0.199402421888888
IGSF9	57549	0.60813667654158	0.311446420247089	-0.308884999555557
ANKRD50	57182	0.60813667654158	0.31148042431126	-0.31540094061111
TNFRSF21	27242	0.60813667654158	0.311482436822763	0.328478416722224
MMP23A///MMP23B	8511///8510	0.60813667654158	0.311487074720647	0.240589593722223
OR10Z1	128368	0.60813667654158	0.311504419216071	0.212542906333334
PCDHB3	56132	0.60813667654158	0.311509879546499	-0.240283347388889
ZNF829	374899	0.608272806778453	0.311598430179476	-0.286879569833333
		0.608403513501307	0.311695807693184	0.335484003500002
		0.608403513501307	0.311703034561683	-0.332950143444445
		0.608575508603274	0.311819583321137	0.367116843
		0.608575508603274	0.311828925285963	0.247518922777781
		0.608575508603274	0.311847640032407	0.109675433611111
		0.608638982972216	0.311939084492268	0.462929727777778
CLASRP	11129	0.608638982972216	0.311939511622633	0.259319823444444
TMEM86B	255043	0.608638982972216	0.311968270508885	-0.311212495611111
EID3	493861	0.608638982972216	0.311997355269703	-0.320560771722222
		0.608638982972216	0.312005368925662	0.662993824555558
UNC13B	10497	0.608638982972216	0.312005739694803	-0.307083608666667
CRYM-AS1	400508	0.608638982972216	0.312011983195651	-0.369604730666668
ADAMTSL2	9719	0.608642954811665	0.312032850506769	-0.260925846666666
FLJ44874	399990	0.608755291571552	0.31210927683649	-0.341140526277777
NOXO1	124056	0.608856615846425	0.312198336197539	0.230911948833334
RCAN3	11123	0.608856615846425	0.312198901470338	0.335068927777777
ZBTB24	9841	0.608882345901369	0.312230933478831	-0.287724497444445
HTR1D	3352	0.608904314349463	0.312269282366734	0.274351337111113
		0.608904314349463	0.312310996266436	0.265323497111112
KNOP1	400506	0.608904314349463	0.312336101168533	0.460301549388889
		0.608904314349463	0.312339116784524	0.110852337111111
		0.608904314349463	0.312350294008912	-0.120910373944443
ABCB7	22	0.608904314349463	0.31235523442697	-0.271923312500001
GABRA1	2554	0.608938004620021	0.312391357154932	0.214827478666667
VNN3	55350	0.609020088149398	0.312459975108038	0.370112841833331
HECTD4	283450	0.609020088149398	0.312522782120436	0.276514834611112
		0.609020088149398	0.312534776031102	0.370403204444445
PSENEN	55851	0.609020088149398	0.312556655348323	0.426740916944446
		0.609020088149398	0.312559848828853	0.312536299444445
		0.609020088149398	0.312563933881949	-0.457741786722222
HEPACAM	220296	0.609020088149398	0.312565366858148	0.280588476388891
		0.609174438252257	0.312663431087117	0.164612573166667
RNF141	50862	0.609178997361757	0.312684618861779	0.323659716888888
SUGP1	57794	0.60938408372973	0.312811299433168	-0.300769817444444
TRPM6	140803	0.60938408372973	0.312827595595547	-0.189105597444446
		0.609469239695887	0.31289016720627	0.219634648888889
TENM1	10178	0.609506513885374	0.312928160991736	0.411193510777777
TSSK6	83983	0.609544258314596	0.312979700841574	0.265881651166667
VAX1	11023	0.609544258314596	0.312985257603076	-0.300183460333333
ARHGAP44	9912	0.609547237277606	0.313019030591081	0.201070360722223
SLC51A	200931	0.609547237277606	0.313061491374703	0.271481502500001
ARRDC2	27106	0.609547237277606	0.313078928920305	-0.313124871444448
DRD5	1816	0.609547237277606	0.313084214215633	-0.377735860333335
MAZ	4150	0.609547237277606	0.313105201164653	-0.3069145285
PRSS1	5644	0.609547237277606	0.313107273804611	-0.245816022277778
AKR1D1	6718	0.609547237277606	0.313118801414563	0.155255649722223
		0.609548730580198	0.313156709787272	0.758563575999998
CEP95	90799	0.609548730580198	0.313165163777088	-0.298153433999998
DYNC2LI1	51626	0.609548730580198	0.313176146159301	0.308950313111112
		0.60966412031096	0.313254294297952	-0.281769899666665
LOC440934	440934	0.60973529058975	0.313315277572209	-0.272133174222222
		0.60973529058975	0.313328592599398	-0.359089496555557
DNAH3	55567	0.609791296161561	0.313376239263746	-0.137889381444445
TMEM223	79064	0.609872049897285	0.313436608423124	0.433694455777776
DDT	1652	0.610089471515581	0.313567225668043	-0.471858978777782
SLC4A10	57282	0.610168781639984	0.313626867033355	0.315721195444443
		0.610172958299908	0.31365237621991	0.619457462722223
		0.610172958299908	0.313707608267462	0.192756562500001
RPS3A	6189	0.610172958299908	0.31371841564582	-0.153514158333332
ANKMY1	51281	0.610172958299908	0.313735153101912	0.246954621222222
CMA1	1215	0.610172958299908	0.313744545795515	0.188233888055556
SLCO5A1	81796	0.610172958299908	0.313753066199121	-0.432737485944445
PHOX2B	8929	0.610172958299908	0.313768413838168	-0.202430587666666
SKIDA1///SKIDA1///LOC219688	387640///387640///219688	0.610172958299908	0.313780157116385	0.340866590777781
VN1R3	317702	0.610172958299908	0.313798920604594	-0.23689013488889
SNX33	257364	0.61021364267824	0.313846921566483	0.231292424611111
PRSS12	8492	0.61021364267824	0.313865872273271	0.257639286111111
		0.61021364267824	0.313876483076815	-0.260067005388889
GLRB	2743	0.61034935290191	0.313965172530156	-0.246667981888889
		0.610375173092446	0.31400531475983	-0.372344515277777
KERA	11081	0.610375173092446	0.314016224070456	-0.211583692388889
		0.610708494076328	0.314206600909479	-0.471636203055554
BTBD10	84280	0.610741856179627	0.314242661683339	-0.299440324222225
		0.610793333983895	0.314288046084161	0.256822303888887
		0.61079398868683	0.314307280710354	-0.183437203500001
		0.610842342005293	0.314351061989853	-0.43242332138889
ZFP41///GLI4	286128///2738	0.610897345437103	0.314404352626933	-0.243260821666667
CFAP47	286464	0.610897345437103	0.314432453743739	0.221425445
POM121C///POMZP3///POM121	100101267///22932///9883	0.610897345437103	0.31443607062565	0.421078910333332
HLA-F///HLA-B	3134///3106	0.610960742351536	0.314487604668869	-0.72638531811111
PHYHIPL	84457	0.611114806445449	0.314585815712366	-0.213026887944443
SLCO1C1	53919	0.611291533026509	0.314699569444791	-0.168410857333333
PPM1G	5496	0.611291533026509	0.314714616180227	0.228275855055555
PPP1R16B	26051	0.611331690173049	0.314767022513082	0.351369980555556
HLA-DPB1	3115	0.611331690173049	0.314773740817186	-0.658508660222221
		0.611331690173049	0.314792033648404	0.257124381888889
NPTX1	4884	0.611360357974002	0.314825710779966	0.233733572055556
RASGEF1A	221002	0.611429783447664	0.314880379489693	-0.320033521833333
PIEZO1	9780	0.611479384825292	0.314924842665815	-0.233696857222224
POTEB3///LOC102723502///POTEB///LOC100288966///POTEB2///POTEF///POTEJ///POTEM///POTEE///POTEKP///POTEG///POTEC///POTED///POTEH	102724631///102723502///100996331///100288966///100287399///728378///653781///641455///445582///440915///404785///388468///317754///23784	0.611494602953179	0.314951599745106	0.293825186833333
ANGEL2	90806	0.61153510331058	0.314992296463307	0.239536637666663
FMR1	2332	0.61153510331058	0.315021578701938	-0.298641914111113
		0.61153510331058	0.315029221562488	-0.786612121388892
MSRB1	51734	0.611612573586044	0.315088053054708	-0.291542353555556
TSPAN1	10103	0.611676208374096	0.315139761203102	-0.228507194222222
CAPN6	827	0.611691774783511	0.315175644490506	0.220097972388888
MIR95	407052	0.611691774783511	0.315185632166226	0.123017395611111
MOXD1	26002	0.611799691929422	0.315260167355111	0.214276092055556
		0.611878003194064	0.315319452405567	-0.279275534611113
		0.612048552921836	0.315443531293299	0.947233350166666
C20orf181	100128998	0.612048552921836	0.31545262919634	-0.215431404777775
		0.612048552921836	0.315524924468052	-0.262306918277778
TMC2	117532	0.612048552921836	0.315538043562809	-0.203958263555555
SLC25A3	5250	0.612048552921836	0.31555724258472	-0.14696278972222
XPC	7508	0.612048552921836	0.315558879773207	-0.325766989166667
ARFGAP2	84364	0.612048552921836	0.315574120909564	-0.380778649611109
DSN1	79980	0.612048552921836	0.315575011526787	0.513986876388889
OR2Y1	134083	0.612048552921836	0.315590364485161	-0.199719475888887
TBCD	6904	0.612048552921836	0.315596707496529	0.189303168444442
		0.612065682155597	0.315631309204039	-0.928097532444445
NACAD	23148	0.612065682155597	0.315643414194162	-0.23402685261111
		0.612110843195654	0.315710194856583	-0.46441070088889
FSHB	2488	0.612110843195654	0.315712814298678	0.222809331000001
WNT10B	7480	0.612110843195654	0.315723519288226	0.273526601055556
ELK4	2005	0.612253462198126	0.315816024311351	0.418930916944444
		0.612326788952806	0.315872793298788	-0.218235833222221
ZNF320	162967	0.612363343227778	0.315910596360879	-0.500279276500001
ZNF81	347344	0.612395053422626	0.315945902534646	0.258730686277778
OPA1	4976	0.61241073758886	0.315972942051045	0.233601915666668
HBZ	3050	0.612454899814276	0.316020515051812	0.295217897277778
DENND5B	160518	0.612454899814276	0.316043038157015	-0.274693290166664
		0.612454899814276	0.316061050693154	-0.228790117388889
CXorf65	158830	0.612454899814276	0.316071524052539	0.484837349777777
		0.61245681970562	0.316091464048434	0.253359213388888
		0.612512345114978	0.316144901347324	-0.27996529
RTP5	285093	0.612512345114978	0.316158022757748	-0.21132819138889
PRADC1	84279	0.612603077303169	0.316223809341483	-0.487777077055555
		0.612713866492079	0.316299955521808	0.224725822611111
ERI2	112479	0.612790794958238	0.316358627662299	0.324703966444443
TIMM23B///TIMM23	100652748///100287932	0.612880534084968	0.316424866574536	0.339770721277779
TULP3	7289	0.612880534084968	0.316442880876518	0.511134814722224
ROBO2	6092	0.612943114366285	0.316494156605889	0.178160198333333
SNRPD2P2	645339	0.612967642334186	0.316525786657516	0.197482529333334
RBM10	8241	0.613123583672995	0.31662528186275	-0.187528471388888
REEP3	221035	0.613219453395691	0.316695259663167	0.55687519861111
OPN1SW	611	0.613219453395691	0.316712735853911	-0.224940042888889
		0.61323348888342	0.316762707684074	-0.329354795944443
PQLC2L	152078	0.61323348888342	0.316763898085761	0.197051682000001
		0.61323348888342	0.316818660746032	0.561441724277778
		0.61323348888342	0.316835576759743	-0.24948583411111
STARD7	56910	0.61323348888342	0.316844826353477	0.202136096444447
		0.61323348888342	0.316860404646937	0.387169191277779
SLC39A13	91252	0.61323348888342	0.316863977268699	0.239005646333335
C3orf22	152065	0.61323348888342	0.316872092631827	-0.190451332666668
		0.61323348888342	0.316906412749051	-0.601149330833333
TBR1	10716	0.61323348888342	0.31692831880913	-0.246523271888888
		0.61323348888342	0.316966841751284	0.363117224166668
NTRK2	4915	0.61323348888342	0.316981051693755	-0.178536976444446
		0.61323348888342	0.316990388732409	-0.192889433444444
OPRPN	58503	0.61323348888342	0.316999828308745	0.195433587444445
		0.61323348888342	0.317004583158447	-0.275530879666666
TARS	6897	0.613407386554485	0.317113456326812	-0.52946862422222
TRABD2A	129293	0.613448025155196	0.317153445139177	0.221655678666668
ATAD5	79915	0.613454466685525	0.317194405471582	0.352939397000002
CYP4F3	4051	0.613454466685525	0.317194735535673	0.347829443777777
HOXA13	3209	0.613602843594738	0.317290440425694	0.329144842833332
		0.613631967260395	0.317324485652989	-0.128741694888888
		0.613663115152079	0.317363941407399	-0.227102043333333
		0.613663115152079	0.317381077800798	0.295683050888889
		0.613663115152079	0.31739755255089	0.527415445222225
		0.614414768374732	0.317805330827907	-0.344790909333334
CCDC86	79080	0.614430638139581	0.317884747202012	0.242204537555554
		0.614430638139581	0.317910574021947	0.243942042833332
MS4A12	54860	0.614430638139581	0.317950970804632	-0.178934326166667
TRIM31	11074	0.614430638139581	0.317960759958501	0.326208634500001
RPL29	6159	0.614430638139581	0.317961837873085	0.322926324833331
		0.614430638139581	0.317965028271005	0.103292662333333
SUV39H2	79723	0.614430638139581	0.317983573489183	-0.353935250777776
CPSF6	11052	0.614430638139581	0.317986995289233	-0.261095771833334
OR7E24	26648	0.614430638139581	0.317998708487477	-0.187094208555556
		0.614430638139581	0.318003642053121	-0.427066990722222
PDXP	57026	0.614465969628125	0.318047323622513	-0.250919300222223
RAD9A	5883	0.614465969628125	0.318060660303189	-0.189454871833332
LOC392364	392364	0.614465969628125	0.318084071961345	-0.380204429777778
HINT3	135114	0.614465969628125	0.318097973571913	-0.38158020688889
		0.614563434367202	0.318182118401223	-0.540246649055557
MROH9	80133	0.614563434367202	0.318207301254234	0.146765632222223
STAC2	342667	0.614563434367202	0.318229071028811	0.291255782555555
CARTPT	9607	0.614563434367202	0.318231032543359	-0.260064947333333
		0.614563434367202	0.318243501160356	0.162269214444444
XKR7	343702	0.614621564916252	0.318292619460049	0.274338088111111
		0.61462648218261	0.318326557662026	0.129018670499999
		0.61462648218261	0.318333198593388	0.371407941888888
ANKRD49	54851	0.614997257789951	0.31855031280293	0.556310717666668
		0.614997257789951	0.318563289809083	0.733867768222221
TSPAN12	23554	0.614997589964337	0.318582489674605	-0.228066307833334
SYNC	81493	0.615096308940229	0.318652659165719	0.228429516388889
		0.615150398112283	0.318699712768484	-0.407355575666666
CRTC3	64784	0.615236889960871	0.318763558036099	0.446414403999999
LOC284379	284379	0.615385957614701	0.318859832065016	0.239398670055556
DNASE1L3	1776	0.615440361094935	0.318923419108709	0.376469443111112
FABP5P3///FABP5	220832///2171	0.615440361094935	0.318942850284579	-0.481541521166668
ADGRE5	976	0.615440361094935	0.318945145519636	0.326695302222223
UBE2M	9040	0.615449546251233	0.318968947410489	0.272606178555554
OR1L4	254973	0.615545512722093	0.319072590944952	-0.2061789855
GNB4	59345	0.615545512722093	0.319075323558929	-0.286550448055552
FGA	2243	0.615545512722093	0.31907581820321	0.145207787055555
MGAT5B	146664	0.615754263074535	0.319213552998675	-0.250666087722225
		0.615754263074535	0.319222129020665	0.210365635166667
RC3H2	54542	0.61587470909094	0.319303626132758	-0.271031013944445
		0.615893076577731	0.319353722038103	-0.300065681944442
		0.615893076577731	0.319357601034891	-0.192770959277778
MIR204	406987	0.615893076577731	0.319370315381417	0.216688942777778
LMO4	8543	0.61598835569029	0.319438780660405	-0.454422143666666
PCDHA8	56140	0.616006800236351	0.319467404645949	0.372435445555553
FKBP5///LOC285847///FKBP5	2289///285847///2289	0.616024112919575	0.319506170656241	0.452851550888887
RECK	8434	0.616024112919575	0.3195145023045	-0.403503210722223
		0.616053743472516	0.319548931323806	0.5086047545
		0.616142298016201	0.319627207154466	0.383590778888888
SLC25A43	203427	0.616142298016201	0.319646555327019	0.355359140500001
GDI1	2664	0.616142298016201	0.319652054488898	0.279529547277779
MFSD7	84179	0.616167101848351	0.319683986599889	-0.257538644055556
SMDT1	91689	0.616179924946347	0.319709703949452	-0.240279772500005
		0.616197253151063	0.319747004786038	-0.370274069111113
PHYHIP	9796	0.616197253151063	0.319758284145778	-0.248039898944444
S100A7L2	645922	0.616197253151063	0.319775889579617	-0.169962154777778
		0.616295341405026	0.319845860484759	0.318107233
FDX1	2230	0.616348652601647	0.31990786173811	-0.293401792388888
		0.616348652601647	0.319911667214666	-0.753461096000002
TET1	80312	0.616657525587129	0.320116908438859	0.329284537555555
SNORD114-26	767606	0.616657525587129	0.320119733436229	-0.336222939444444
IQSEC3	440073	0.616657525587129	0.320136264374134	-0.538558174888887
		0.616657525587129	0.320148302322083	-0.261695059388888
		0.616794897586509	0.320238704755397	-0.261510219111112
ZNF341	84905	0.616814754077831	0.32026809823131	-0.219847719888888
		0.616854802521869	0.320307977807758	0.354434788888888
		0.616925982665845	0.320373282846248	0.194954785055556
		0.616925982665845	0.320383113735535	0.26832444111111
		0.616963954152963	0.320421921797334	0.332246936388889
ANKRD35	148741	0.617108015407386	0.320527512061648	-0.21795464861111
SPATA13	221178	0.617108015407386	0.320534926600637	0.283560065333333
TTTY14	83869	0.617142297758436	0.320571827513579	-0.340785502055556
		0.61739132587284	0.320758165943995	0.108405148777778
		0.61739132587284	0.320760318708791	0.574211975
		0.61739132587284	0.320764232510723	-0.593875365666668
		0.61739132587284	0.320796099789932	-0.292379134944444
TREML3P	340206	0.61739132587284	0.32079669337918	0.393092541055554
OR6C4	341418	0.617418029441622	0.320857413488982	0.430441948722222
		0.617418029441622	0.320863381796845	-0.17332733511111
		0.617418029441622	0.320878921788424	0.259561043000001
SNORD115-3	100033440	0.617418029441622	0.32088697931872	-0.133492426611111
		0.617658637838328	0.321031139415429	-0.282183499055554
		0.617664770609354	0.321053437277224	0.447040629499999
AMIGO2	347902	0.617697508012846	0.321101434240654	-0.303945359833333
OGFOD3	79701	0.617697508012846	0.321108676390948	-0.23428441566667
		0.61770159701297	0.321131990269773	-0.352177229666668
		0.61770159701297	0.321149024974659	0.161075254555556
		0.617803733553269	0.321221241371328	0.448436334222222
GM140	100287948	0.617829319553508	0.321264300726436	0.27244336588889
FRA10AC1	118924	0.617829319553508	0.321272775401003	-0.362081648444446
		0.617847160823091	0.321301168872081	0.327365238333335
		0.617877325695718	0.321335972513824	0.271250761388889
SPEF2	79925	0.617892981742482	0.321363232050095	-0.219539374111111
SUSD5	26032	0.617977409306135	0.321426262425217	0.243508471055558
		0.617981892178333	0.321447714219923	0.398029764666667
RXFP1	59350	0.617996127621777	0.321474239463659	0.624920853055556
		0.618003763793237	0.321497332521255	-0.136048054333334
DQX1	165545	0.618255224394277	0.321651377958682	0.196675155444446
INTS6	26512	0.618255224394277	0.321701525278364	0.343498661333332
CHRNG	1146	0.618255224394277	0.321702630158616	-0.232679279833332
HOXC9	3225	0.618255224394277	0.321732335154227	-0.234195780111111
FAM186B	84070	0.618255224394277	0.32173325623571	-0.186577120388889
NAT16	375607	0.618255224394277	0.321750426026494	0.213156136333332
RAB7A	7879	0.618255224394277	0.321762047261413	0.862652472777778
		0.618264629354985	0.321786070821124	0.501648085333335
		0.618317284142256	0.321832606389814	-0.393767033444445
MYLIP	29116	0.618318470313698	0.321852354337974	0.441498657722221
LINC00680	106660612	0.61838609608771	0.321941050148551	-0.265489338166665
		0.61838609608771	0.321953191626724	0.272141589777778
		0.61838609608771	0.32197746933614	0.593088181500001
		0.61838609608771	0.321989199877486	-0.37512644411111
TBC1D24	57465	0.61838609608771	0.321995600596966	0.213395701944445
		0.61838609608771	0.322015119384378	0.212822019166667
FAH	2184	0.61838609608771	0.322021996259059	0.386672794666667
UPK3BL///POLR2J3///POLR2J2///POLR2J4	100134938///548644///246721///84820	0.61838609608771	0.322054056611021	-0.531190034611107
FUNDC1	139341	0.61838609608771	0.322059749247994	-0.281009471388889
		0.618475656803663	0.322137725749129	-0.280368598055555
		0.618475656803663	0.322144663911688	0.403234094833333
FCHSD1	89848	0.618491351553122	0.322188905031842	-0.296767258277779
		0.618491351553122	0.322201306162761	-0.231909201444444
RPS3A	6189	0.618491351553122	0.322230291597824	-0.485977418111112
		0.618491351553122	0.322263903535076	-0.644077865055556
NDUFS4	4724	0.618491351553122	0.322265653566894	-0.313239610055556
		0.618491351553122	0.322267654203339	-0.230088484833332
DPY19L4	286148	0.618507877062613	0.322295401302204	-0.351768609833334
TAS2R13	50838	0.618566917825444	0.322360889487489	-0.396049997333334
GALM	130589	0.618566917825444	0.322392355203812	0.38509227638889
		0.618566917825444	0.322393459658586	0.398497025388889
GAN	8139	0.618566917825444	0.322462868804158	0.224236031888888
RNF144A	9781	0.618566917825444	0.322471976128817	-0.347974314888887
CACNA1A	773	0.618566917825444	0.322491089806862	0.174487469166667
CCDC130	81576	0.618566917825444	0.322493006118916	0.3390885685
GPATCH4	54865	0.618566917825444	0.322506869750452	0.22850895188889
PMS2P3	5387	0.618566917825444	0.322540653632575	0.310174960555558
		0.618566917825444	0.322552464439072	-0.378111158888889
		0.618566917825444	0.32255267366055	-0.406688410777777
		0.618566917825444	0.322574757841562	0.360109956111112
PTMA///PTMA	5757///5757	0.618566917825444	0.322574963644313	0.467566368444446
SVBP	374969	0.618601477994944	0.322612125648426	0.565528789444445
		0.618966353028282	0.322826106549116	-0.532952639722223
FCMR	9214	0.618966353028282	0.322840715923108	-0.347394158777776
		0.618990396655207	0.322903403239595	-0.393347282055556
MS4A5	64232	0.618990396655207	0.322906230364351	0.176200642388888
		0.618990396655207	0.322925099083419	-0.251881442499999
		0.618990396655207	0.322951690087844	0.330431302555557
C7orf34	135927	0.618990396655207	0.322962596356835	0.289700477333335
		0.618990396655207	0.322968164635791	-0.138968361722223
ERP44	23071	0.619101070608292	0.32304874101605	0.301601297611112
GYPC	2995	0.619101070608292	0.323080061149857	-0.366350274611112
		0.619101070608292	0.323083374832154	0.192065154055554
		0.619113407601091	0.323144966072803	-0.199661137611111
C1QTNF6	114904	0.619113407601091	0.323156369801927	-0.259158757388889
		0.619113407601091	0.323158595227064	0.280880979111112
		0.619113407601091	0.32316643357687	-0.224589908944444
CEACAM4	1089	0.619339616236623	0.323303672694047	-0.308552001222224
GINS4	84296	0.619355490497992	0.32333112190751	0.261970976166664
CTCF	10664	0.619379991906042	0.32336307612458	0.267722530444445
PKDCC	91461	0.619446423131113	0.323416923682359	0.227504990666668
RGS10	6001	0.61959592304295	0.323514148611517	0.369045866555554
		0.619599939643508	0.323551940768317	0.378290977722222
PBX2///PBX2P1	5089///5088	0.619599939643508	0.323554586222676	0.321003064166667
SPATA19	219938	0.619657831520448	0.323603989302115	-0.298797418833333
ATAD1	84896	0.619707255098541	0.323648973301054	-0.268010661777778
		0.61976163742017	0.323696550270409	-0.205457213444445
		0.619786915818396	0.323728928957834	-0.584128740055557
CISH	1154	0.619899594349961	0.323824926054001	0.308056414888889
		0.619899594349961	0.323826142477174	0.542984415777776
NEB	4703	0.620057201827112	0.323927658576492	0.259757514666668
UPF3A	65110	0.62012950911004	0.323984619622912	-0.217655118666671
SLC18A3	6572	0.620205408099824	0.324043461730198	0.240556005277778
CREB3L3	84699	0.620273343599465	0.324098147542086	0.235970360500001
		0.620319333514067	0.324155606020175	-0.137047354499999
C11orf84	144097	0.620319333514067	0.324160562577042	0.192711488388889
		0.620327812571342	0.324184186199144	0.230816907444444
RNF2	6045	0.620379598314374	0.324256425682772	0.362895669666665
GSTA2	2939	0.620379598314374	0.324258110222435	-0.215907834166666
ACADVL	37	0.620379598314374	0.324270733949824	-0.240626717722222
CYTH2	9266	0.620379598314374	0.324303220494381	-0.195219499944443
LINC00574	80069	0.620379598314374	0.324307221098347	0.259057332222223
		0.620512990692265	0.324396151224504	0.309841280611111
RBM15B	29890	0.620755467501022	0.324542120906911	-0.222245446388887
GID4	79018	0.620998988643511	0.32469481075576	0.236868656166666
C4orf19	55286	0.620998988643511	0.324707865105515	0.186122444444445
GUCY1B2	2974	0.621054882240648	0.324762462556542	-0.171062479111111
		0.621054882240648	0.324775521166778	0.463152917388889
		0.621059948633856	0.324797385964483	-0.173094259388889
		0.62107790170799	0.324825990856467	0.326046983722223
S100A2	6273	0.621095342248244	0.324854328786441	-0.261403394833333
LYPD6	130574	0.621181708528634	0.324918720472296	0.193515320888889
CDH12	1010	0.621201766933331	0.324948432088791	0.190718674666667
CBLN4	140689	0.621237166787344	0.324991338598909	0.231089787777778
		0.621237166787344	0.325005391330936	-0.217685608555556
ZNF208	7757	0.621298156964053	0.325056521588507	-0.431416838888889
		0.621346439554256	0.325119550856967	0.258045932777779
ENPP2	5168	0.621346439554256	0.325120230987333	-0.541184731999999
CSH2	1443	0.621500124640993	0.325219875871821	-0.277321963888888
		0.621509587021032	0.325244056646568	0.280027736944445
TREML4	285852	0.621688593139816	0.325358314460132	0.503055870944444
TWF1	5756	0.621688593139816	0.32540081358438	0.258065795111114
NAT2	10	0.621688593139816	0.325409226378372	0.203520291611112
BUB3	9184	0.621688593139816	0.325414672155546	0.344583414611112
		0.621889688575233	0.325539173942773	0.304151027722221
